Country,Kidney Disease Rate,Malaria Rate,Skin Cancer Rate,Population,Latitude,Longitude,Weathercode,Max Temp.,Min Temp.,Precipitation,Rain,Shortwave Radiation,People with Kidney D.,People with Malaria,People with Skin Cancer,Risk Evaluation
Brunei,33.89,0.0,0.49,,,,,,,,,,,,,Low Risk Country
Togo,33.57,52.24,4.71,1565638.0,8.26495,1.06755,68.79,29.71,21.76,5.99,0.18,17.23,525584.68,817889.29,73741.55,High Risk Country
Benin,33.45,42.51,2.06,3022187.0,7.94135,2.27579,57.07,30.36,22.96,5.08,0.15,17.5,1010921.55,1284731.69,62257.05,Medium Risk Country
Guyana,32.95,3.88,0.71,369776.0,6.33565,-58.29804,88.22,30.36,23.54,6.84,0.02,15.45,121841.19,14347.31,2625.41,Low Risk Country
Egypt,32.58,0.0,1.52,39513421.0,29.35082,31.41295,1.81,31.79,21.62,0.05,0.0,23.36,12873472.56,0.0,600604.0,Low Risk Country
Senegal,32.13,42.82,2.17,6078930.0,14.49471,-15.68095,44.2,33.57,23.72,3.77,0.13,20.1,1953160.21,2602997.83,131912.78,Medium Risk Country
Gambia,32.04,46.43,0.01,736951.0,13.45516,-15.28144,58.34,32.81,23.61,5.42,0.05,18.48,236119.1,342166.35,73.7,Medium Risk Country
Somalia,31.84,16.08,2.55,5226266.0,5.5488,45.5609,9.81,32.73,22.14,0.34,0.0,20.29,1664043.09,840383.57,133269.78,Medium Risk Country
Morocco,31.77,0.0,1.5,16301564.0,32.81199,-6.28986,10.19,31.67,17.64,0.45,0.1,21.56,5179006.88,0.0,244523.46,Low Risk Country
Burkina Faso,31.16,49.69,2.91,2481823.0,12.4726,-1.58243,47.39,32.72,23.27,3.21,0.07,20.24,773336.05,1233217.85,72221.05,Medium Risk Country
Bahamas,30.95,0.0,0.23,357957.0,24.66915,-76.46025,46.15,28.38,27.1,0.9,0.0,21.93,110787.69,0.0,823.3,Low Risk Country
Djibouti,30.92,7.73,1.78,749274.0,11.63446,42.80335,20.18,36.52,30.0,0.76,0.0,21.27,231675.52,57918.88,13337.08,Low Risk Country
Mozambique,30.57,44.55,4.25,4928874.0,-19.60292,35.65032,29.3,24.66,23.28,1.67,0.02,20.27,1506756.78,2195813.37,209477.14,High Risk Country
Chad,30.51,49.56,2.38,1680347.0,12.00826,17.62415,52.37,33.59,22.82,3.28,0.01,20.42,512673.87,832779.97,39992.26,Medium Risk Country
Ghana,30.38,48.0,1.57,7287342.0,6.74788,-0.98343,63.82,28.47,22.15,5.46,0.11,16.76,2213894.5,3497924.16,114411.27,Medium Risk Country
Eritrea,30.38,13.87,1.58,764691.0,14.89866,39.09706,42.29,26.25,14.41,2.01,0.17,19.98,232313.13,106062.64,12082.12,Medium Risk Country
Jordan,30.36,0.0,0.64,4283016.0,31.87241,35.87816,6.1,27.33,17.71,0.2,0.03,22.72,1300323.66,0.0,27411.3,Low Risk Country
Sierra Leone,30.17,61.6,2.64,1913541.0,8.36511,-11.78692,88.1,28.79,23.38,12.38,0.53,13.77,577315.32,1178741.26,50517.48,Medium Risk Country
Congo,29.78,49.23,1.82,19537679.0,-2.91507,20.81363,67.31,31.25,22.41,4.25,0.07,17.74,5818320.81,9618399.37,355585.76,Medium Risk Country
Niger,29.61,43.6,3.18,2038086.0,14.32147,6.38509,40.48,33.72,23.14,2.55,0.09,22.22,603477.26,888605.5,64811.13,High Risk Country
Grenada,29.59,0.0,0.42,19251.0,12.18297,-61.65394,73.79,27.69,24.39,5.41,0.01,18.07,5696.37,0.0,80.85,Low Risk Country
Zambia,29.46,54.16,1.87,3891743.0,-13.31592,28.22202,13.01,28.37,14.4,0.69,0.03,22.14,1146507.49,2107768.01,72775.59,Medium Risk Country
Mali,29.19,36.98,2.74,2501890.0,14.35515,-5.27178,39.11,33.66,23.84,3.32,0.04,20.44,730301.69,925198.92,68551.79,Medium Risk Country
Maldives,29.04,0.0,0.01,187889.0,3.11866,73.28182,61.46,27.92,26.93,6.61,0.07,19.74,54562.97,0.0,18.79,Low Risk Country
Libya,28.7,0.0,0.5,,,,,,,,,,,,,Low Risk Country
Mauritania,28.66,43.02,2.41,1093457.0,18.01638,-13.50481,11.11,37.54,26.19,0.73,0.06,23.58,313384.78,470405.2,26352.31,Medium Risk Country
Paraguay,27.94,0.0,2.19,4020506.0,-25.42636,-56.565,33.24,26.08,14.89,3.51,0.37,16.45,1123329.38,0.0,88049.08,Low Risk Country
Liberia,27.8,52.62,2.29,1256173.0,6.37482,-9.3899,76.68,28.02,22.41,5.89,0.17,13.93,349216.09,660998.23,28766.36,Medium Risk Country
Comoros,27.0,4.6,2.85,361020.0,-11.95965,43.87025,19.93,25.67,24.59,0.5,0.0,22.81,97475.4,16606.92,10289.07,Low Risk Country
Timor-Leste,26.48,0.0,0.63,339746.0,-8.76566,125.6933,30.21,33.23,24.66,1.09,0.0,21.67,89964.74,0.0,2140.4,Low Risk Country
Sri Lanka,26.23,0.0,0.22,4173540.0,7.15812,80.39966,67.07,28.93,22.66,5.98,0.15,15.5,1094719.54,0.0,9181.79,Low Risk Country
Namibia,25.76,0.87,9.09,803788.0,-21.51266,16.91543,7.89,27.53,11.57,0.17,0.01,22.73,207055.79,6992.96,73064.33,Medium Risk Country
Thailand,25.13,0.02,1.12,16357414.0,14.36718,101.26079,74.9,29.89,23.59,13.28,0.78,15.21,4110618.14,3271.48,183203.04,Low Risk Country
Sudan,24.83,15.39,1.67,9089764.0,14.57793,31.97247,20.9,36.17,25.57,0.51,0.0,22.27,2256988.4,1398914.68,151799.06,Low Risk Country
Trinidad/Tob.,24.69,0.0,0.24,,,,,,,,,,,,,Low Risk Country
Uganda,24.6,30.23,2.54,3645095.0,0.97578,32.28228,65.84,27.3,17.39,3.36,0.01,17.33,896693.37,1101912.22,92585.41,Low Risk Country
Bhutan,24.53,0.0,1.61,251017.0,27.30641,90.23112,53.83,17.01,11.15,3.99,0.91,13.34,61574.47,0.0,4041.37,Low Risk Country
DR Congo,24.38,28.55,2.16,,,,,,,,,,,,,Low Risk Country
Malaysia,24.25,0.0,0.91,18560002.0,3.98098,104.12967,90.35,28.74,27.46,16.93,0.09,17.2,4500800.49,0.0,168896.02,Low Risk Country
Ethiopia,24.2,5.39,1.82,6884259.0,8.97763,38.42178,59.92,22.87,11.87,3.63,0.18,19.26,1665990.68,371061.56,125293.51,Low Risk Country
Angola,24.15,47.27,4.68,4740284.0,-11.00478,16.07505,38.81,26.04,12.43,1.56,0.02,21.1,1144778.59,2240732.25,221845.29,Medium Risk Country
Viet Nam,24.12,0.02,0.46,32159616.0,16.29196,106.38777,67.03,26.36,20.72,7.02,1.11,15.97,7756899.38,6431.92,147934.23,Low Risk Country
Jamaica,23.98,0.0,0.29,2364707.0,18.14455,-77.25422,62.12,28.51,20.67,1.96,0.01,18.92,567056.74,0.0,6857.65,Low Risk Country
Panama,23.93,0.0,1.2,2501302.0,8.46472,-80.7013,86.88,27.83,21.83,11.48,0.1,14.55,598561.57,0.0,30015.62,Low Risk Country
Malawi,23.88,45.12,4.59,1932348.0,-13.99957,34.52216,9.7,30.49,20.37,0.23,0.0,22.8,461444.7,871875.42,88694.77,Medium Risk Country
Burundi,23.88,47.79,3.16,662818.0,-3.30867,29.74662,31.84,25.16,14.11,2.21,0.23,19.66,158280.94,316760.72,20945.05,Medium Risk Country
Nigeria,23.87,34.69,2.29,61544522.0,8.77774,7.43609,64.46,28.4,21.43,7.12,0.69,16.76,14690677.4,21349794.68,1409369.55,Low Risk Country
Myanmar,23.48,0.21,2.27,12671515.0,18.63616,96.39635,73.9,31.27,24.28,12.98,0.88,15.47,2975271.72,26610.18,287643.39,Low Risk Country
Costa Rica,23.41,0.0,2.09,1904374.0,9.96493,-84.23855,86.64,26.02,18.77,11.15,0.37,15.73,445813.95,0.0,39801.42,Low Risk Country
Kenya,23.3,33.54,3.16,7571439.0,-0.66543,36.64066,29.26,22.99,13.52,1.06,0.35,18.14,1764145.29,2539460.64,239257.47,Medium Risk Country
Rwanda,23.2,35.78,1.89,1846189.0,-2.09176,29.74527,42.25,23.62,14.37,3.32,0.13,18.76,428315.85,660566.42,34892.97,Low Risk Country
Antigua/Bar.,22.91,0.0,0.87,,,,,,,,,,,,,Low Risk Country
Tanzania,22.48,48.99,3.42,11574103.0,-5.89145,35.50021,4.12,21.6,7.98,0.03,0.0,24.11,2601858.35,5670153.06,395834.32,Medium Risk Country
Yemen,22.46,6.67,0.81,5126518.0,14.90122,45.11888,15.61,28.72,16.65,0.44,0.02,21.92,1151415.94,341938.75,41524.8,Low Risk Country
Syria,22.22,0.0,2.74,,,,,,,,,,,,,Low Risk Country
Serbia,22.07,0.0,3.84,4803355.0,44.72297,20.4254,33.78,23.41,13.0,1.45,0.49,15.72,1060100.45,0.0,184448.83,Low Risk Country
South Sudan,21.96,49.7,2.57,1741152.0,6.99822,29.54268,65.43,32.12,22.8,3.67,0.02,18.79,382356.98,865352.54,44747.61,Low Risk Country
Venezuela,21.78,1.44,2.02,28860220.0,9.39218,-68.26906,77.44,30.11,23.4,5.48,0.03,17.39,6285755.92,415587.17,582976.44,Low Risk Country
Cape Verde,21.6,0.0,0.71,309511.0,15.75373,-23.98774,12.42,26.07,25.06,0.93,0.13,21.55,66854.38,0.0,2197.53,Low Risk Country
Argentina,21.52,0.0,1.82,36180077.0,-32.12683,-62.52983,16.75,22.97,9.69,0.84,0.26,18.17,7785952.57,0.0,658477.4,Low Risk Country
Peru,21.3,0.11,2.31,22465464.0,-11.04209,-75.30814,55.53,25.33,16.72,4.49,0.64,15.57,4785143.83,24712.01,518952.22,Low Risk Country
