Country,KD Rank,KD Rate,M Rank,M Rate,SC Rank,SC Rate,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,Population,Latitude,Longitude
Gambia,48.0,32.04,15.0,46.43,177.0,0.01,58.34,32.81,23.61,5.42,0.05,18.48,736951.0,13.45516,-15.28144
Somalia,49.0,31.84,36.0,16.08,50.0,2.55,9.81,32.73,22.14,0.34,0.0,20.29,5226266.0,5.5488,45.5609
Morocco,50.0,31.77,140.0,0.0,119.0,1.5,10.19,31.67,17.64,0.45,0.1,21.56,16301564.0,32.81199,-6.28986
Burkina Faso,51.0,31.16,7.0,49.69,34.0,2.91,47.39,32.72,23.27,3.21,0.07,20.24,2481823.0,12.4726,-1.58243
Bahamas,52.0,30.95,79.0,0.0,173.0,0.23,46.15,28.38,27.1,0.9,0.0,21.93,357957.0,24.66915,-76.46025
Djibouti,53.0,30.92,40.0,7.73,101.0,1.78,20.18,36.52,30.0,0.76,0.0,21.27,749274.0,11.63446,42.80335
Mozambique,54.0,30.57,18.0,44.55,12.0,4.25,29.3,24.66,23.28,1.67,0.02,20.27,4928874.0,-19.60292,35.65032
Chad,55.0,30.51,8.0,49.56,56.0,2.38,52.37,33.59,22.82,3.28,0.01,20.42,1680347.0,12.00826,17.62415
Ghana,56.0,30.38,12.0,48.0,114.0,1.57,63.82,28.47,22.15,5.46,0.11,16.76,7287342.0,6.74788,-0.98343
Eritrea,57.0,30.38,38.0,13.87,112.0,1.58,42.29,26.25,14.41,2.01,0.17,19.98,764691.0,14.89866,39.09706
Jordan,58.0,30.36,121.0,0.0,155.0,0.64,6.1,27.33,17.71,0.2,0.03,22.72,4283016.0,31.87241,35.87816
Sierra Leone,59.0,30.17,1.0,61.6,45.0,2.64,88.1,28.79,23.38,12.38,0.53,13.77,1913541.0,8.36511,-11.78692
Congo,60.0,29.78,9.0,49.23,96.0,1.82,67.31,31.25,22.41,4.25,0.07,17.74,19537679.0,-2.91507,20.81363
Niger,61.0,29.61,19.0,43.6,25.0,3.18,40.48,33.72,23.14,2.55,0.09,22.22,2038086.0,14.32147,6.38509
Grenada,62.0,29.59,110.0,0.0,166.0,0.42,73.79,27.69,24.39,5.41,0.01,18.07,19251.0,12.18297,-61.65394
Zambia,63.0,29.46,2.0,54.16,93.0,1.87,13.01,28.37,14.4,0.69,0.03,22.14,3891743.0,-13.31592,28.22202
Mali,64.0,29.19,24.0,36.98,40.0,2.74,39.11,33.66,23.84,3.32,0.04,20.44,2501890.0,14.35515,-5.27178
Maldives,65.0,29.04,133.0,0.0,178.0,0.01,61.46,27.92,26.93,6.61,0.07,19.74,187889.0,3.11866,73.28182
Libya,66.0,28.7,129.0,0.0,162.0,0.5,,,,,,,,,
Mauritania,67.0,28.66,20.0,43.02,54.0,2.41,11.11,37.54,26.19,0.73,0.06,23.58,1093457.0,18.01638,-13.50481
Paraguay,68.0,27.94,149.0,0.0,70.0,2.19,33.24,26.08,14.89,3.51,0.37,16.45,4020506.0,-25.42636,-56.565
Liberia,69.0,27.8,4.0,52.62,61.0,2.29,76.68,28.02,22.41,5.89,0.17,13.93,1256173.0,6.37482,-9.3899
Comoros,70.0,27.0,43.0,4.6,36.0,2.85,19.93,25.67,24.59,0.5,0.0,22.81,361020.0,-11.95965,43.87025
Timor-Leste,71.0,26.48,70.0,0.0,156.0,0.63,30.21,33.23,24.66,1.09,0.0,21.67,339746.0,-8.76566,125.6933
Sri Lanka,72.0,26.23,166.0,0.0,174.0,0.22,67.07,28.93,22.66,5.98,0.15,15.5,4173540.0,7.15812,80.39966
Namibia,73.0,25.76,46.0,0.87,2.0,9.09,7.89,27.53,11.57,0.17,0.01,22.73,803788.0,-21.51266,16.91543
Thailand,74.0,25.13,65.0,0.02,133.0,1.12,74.9,29.89,23.59,13.28,0.78,15.21,16357414.0,14.36718,101.26079
Sudan,75.0,24.83,37.0,15.39,108.0,1.67,20.9,36.17,25.57,0.51,0.0,22.27,9089764.0,14.57793,31.97247
Trinidad/Tob.,76.0,24.69,173.0,0.0,171.0,0.24,,,,,,,,,
Uganda,77.0,24.6,31.0,30.23,51.0,2.54,65.84,27.3,17.39,3.36,0.01,17.33,3645095.0,0.97578,32.28228
Bhutan,78.0,24.53,85.0,0.0,109.0,1.61,53.83,17.01,11.15,3.99,0.91,13.34,251017.0,27.30641,90.23112
DR Congo,79.0,24.38,33.0,28.55,74.0,2.16,,,,,,,,,
Malaysia,80.0,24.25,132.0,0.0,139.0,0.91,90.35,28.74,27.46,16.93,0.09,17.2,18560002.0,3.98098,104.12967
Ethiopia,81.0,24.2,42.0,5.39,97.0,1.82,59.92,22.87,11.87,3.63,0.18,19.26,6884259.0,8.97763,38.42178
Angola,82.0,24.15,14.0,47.27,6.0,4.68,38.81,26.04,12.43,1.56,0.02,21.1,4740284.0,-11.00478,16.07505
Viet Nam,83.0,24.12,66.0,0.02,165.0,0.46,67.03,26.36,20.72,7.02,1.11,15.97,32159616.0,16.29196,106.38777
Jamaica,84.0,23.98,119.0,0.0,168.0,0.29,62.12,28.51,20.67,1.96,0.01,18.92,2364707.0,18.14455,-77.25422
Panama,85.0,23.93,148.0,0.0,131.0,1.2,86.88,27.83,21.83,11.48,0.1,14.55,2501302.0,8.46472,-80.7013
Malawi,86.0,23.88,17.0,45.12,9.0,4.59,9.7,30.49,20.37,0.23,0.0,22.8,1932348.0,-13.99957,34.52216
Burundi,87.0,23.88,13.0,47.79,27.0,3.16,31.84,25.16,14.11,2.21,0.23,19.66,662818.0,-3.30867,29.74662
Nigeria,88.0,23.87,27.0,34.69,62.0,2.29,64.46,28.4,21.43,7.12,0.69,16.76,61544522.0,8.77774,7.43609
Myanmar,89.0,23.48,53.0,0.21,64.0,2.27,73.9,31.27,24.28,12.98,0.88,15.47,12671515.0,18.63616,96.39635
Costa Rica,90.0,23.41,94.0,0.0,79.0,2.09,86.64,26.02,18.77,11.15,0.37,15.73,1904374.0,9.96493,-84.23855
Kenya,91.0,23.3,29.0,33.54,26.0,3.16,29.26,22.99,13.52,1.06,0.35,18.14,7571439.0,-0.66543,36.64066
Rwanda,92.0,23.2,26.0,35.78,91.0,1.89,42.25,23.62,14.37,3.32,0.13,18.76,1846189.0,-2.09176,29.74527
Antigua/Bar.,93.0,22.91,73.0,0.0,143.0,0.87,,,,,,,,,
Tanzania,94.0,22.48,10.0,48.99,22.0,3.42,4.12,21.6,7.98,0.03,0.0,24.11,11574103.0,-5.89145,35.50021
Yemen,95.0,22.46,41.0,6.67,144.0,0.81,15.61,28.72,16.65,0.44,0.02,21.92,5126518.0,14.90122,45.11888
Syria,96.0,22.22,170.0,0.0,41.0,2.74,,,,,,,,,
Serbia,97.0,22.07,160.0,0.0,16.0,3.84,33.78,23.41,13.0,1.45,0.49,15.72,4803355.0,44.72297,20.4254
South Sudan,98.0,21.96,6.0,49.7,49.0,2.57,65.43,32.12,22.8,3.67,0.02,18.79,1741152.0,6.99822,29.54268
Venezuela,99.0,21.78,45.0,1.44,83.0,2.02,77.44,30.11,23.4,5.48,0.03,17.39,28860220.0,9.39218,-68.26906
Cape Verde,100.0,21.6,90.0,0.0,151.0,0.71,12.42,26.07,25.06,0.93,0.13,21.55,309511.0,15.75373,-23.98774
Argentina,101.0,21.52,74.0,0.0,98.0,1.82,16.75,22.97,9.69,0.84,0.26,18.17,36180077.0,-32.12683,-62.52983
Peru,102.0,21.3,57.0,0.11,60.0,2.31,55.53,25.33,16.72,4.49,0.64,15.57,22465464.0,-11.04209,-75.30814
Nepal,103.0,21.28,141.0,0.0,76.0,2.13,63.67,30.4,22.44,7.21,0.6,15.68,3989252.0,27.75965,84.40842
Algeria,104.0,21.12,72.0,0.0,86.0,2.0,13.17,30.02,18.28,0.42,0.05,20.87,19039658.0,35.44413,3.47887
Dominican Rep.,105.0,20.79,60.0,0.04,104.0,1.71,,,,,,,,,
Tunisia,106.0,20.6,174.0,0.0,106.0,1.69,12.33,33.22,19.07,0.08,0.01,20.47,4896738.0,35.72347,9.98362
India,107.0,19.9,48.0,0.59,164.0,0.47,64.13,29.11,21.6,12.14,0.81,14.69,308535980.0,21.68598,79.28623
Lebanon,108.0,19.79,127.0,0.0,8.0,4.6,15.36,24.57,14.78,0.37,0.0,21.44,4274250.0,33.80541,35.67922
Cambodia,109.0,19.52,47.0,0.64,107.0,1.68,80.29,31.48,25.01,8.41,0.09,17.04,3524321.0,12.30229,104.56564
Indonesia,110.0,19.3,50.0,0.44,111.0,1.61,74.85,27.93,26.99,9.01,0.04,18.18,70092795.0,-3.83631,112.51082
Turkey,111.0,19.06,175.0,0.0,103.0,1.73,17.12,23.31,11.54,0.46,0.08,19.97,63717971.0,39.04154,34.79225
Madagascar,112.0,18.76,35.0,22.36,18.0,3.69,24.31,22.07,10.74,1.67,0.08,20.14,4732673.0,-19.35448,47.38451
Oman,113.0,18.16,147.0,0.0,148.0,0.75,23.24,30.61,19.91,1.11,0.12,20.49,2579609.0,23.19488,57.16062
Mongolia,114.0,17.88,138.0,0.0,145.0,0.81,29.38,13.9,0.51,1.09,0.22,16.35,1445731.0,47.49002,102.3956
Iran,115.0,17.84,114.0,0.0,147.0,0.77,3.97,32.86,21.51,0.12,0.09,21.81,40072202.0,33.67961,51.90969
Azerbaijan,116.0,17.11,78.0,0.0,121.0,1.44,20.96,28.18,17.07,0.44,0.17,16.71,4384421.0,40.29711,47.75473
Saint Vincent,117.0,16.54,157.0,0.0,142.0,0.87,,,,,,,,,
Israel,118.0,16.54,117.0,0.0,37.0,2.83,8.02,29.26,20.14,0.27,0.0,20.89,8480241.0,32.27988,35.0622
Solomon Isl.,119.0,16.49,30.0,32.22,182.0,0.0,,,,,,,,,
Barbados,120.0,16.3,81.0,0.0,158.0,0.57,57.48,28.17,24.47,3.14,0.0,20.73,109103.0,13.18311,-59.57415
No Macedonia,121.0,15.54,145.0,0.0,13.0,4.0,,,,,,,,,
Brazil,122.0,15.46,64.0,0.02,81.0,2.06,23.12,29.43,17.81,1.85,0.21,20.28,134594036.0,-15.93628,-45.34543
Turkmenistan,123.0,14.39,176.0,0.0,125.0,1.38,5.65,29.79,18.69,0.09,0.02,19.98,2015858.0,39.05921,59.86378
Uruguay,124.0,14.07,181.0,0.0,59.0,2.34,30.66,19.57,8.55,2.02,0.68,16.22,2694273.0,-33.57798,-56.20697
Chile,125.0,13.52,92.0,0.0,95.0,1.83,25.05,15.59,9.36,1.8,0.7,17.26,13178789.0,-34.09079,-71.73219
Montenegro,126.0,13.42,139.0,0.0,134.0,1.12,23.77,26.1,15.68,4.39,0.95,16.8,496702.0,42.54635,19.17884
United States,127.0,13.08,180.0,0.0,57.0,2.36,26.66,24.74,13.22,1.9,0.53,18.01,267757731.0,38.43291,-90.31867
